"Date","Open","High","Low","Close","Volume"
"2010-08-02",10468.82,10755.66,10222.85,10319.95,4504694400
"2010-07-01",9773.27,10632.52,9596.04,10465.94,4704026600
"2010-06-01",10133.94,10627.19,9726.33,9774.02,5235174000
"2010-05-03",11009.6,11203.37,9756.11,10136.63,6626699400
"2010-04-01",10857.31,11308.95,10810.15,11008.61,5847150900
"2010-03-01",10326.1,10985.26,10320.05,10856.63,4702951700
"2010-02-01",10068.99,10468.55,9822.84,10325.26,4658238400
"2010-01-04",10430.69,10767.15,10014.35,10067.33,5071601500
"2009-12-01",10343.82,10605.65,10207.29,10428.05,4163287200
"2009-11-02",9712.13,10524.4,9647.06,10344.84,4443852500
"2009-10-01",9711.6,10157.94,9378.77,9712.73,5451064000
"2009-09-01",9492.32,9937.72,9223.08,9712.28,5633064200
"2009-08-03",9173.65,9666.71,9078.28,9496.28,5801439500
"2009-07-01",8447.53,9298.13,8057.57,9171.61,5080675400
"2009-06-01",8501.53,8911.11,8236.07,8447,5330941800
"2009-05-01",8167.41,8657.96,8047.54,8500.33,6883268000
"2009-04-01",7606.13,8383.81,7450.74,8168.12,6938945600
"2009-03-02",7056.48,7969,6440.08,7608.92,7633306300
"2009-02-02",8000.62,8376.56,6952.06,7062.93,7022036200
"2009-01-02",8772.25,9175.19,7856.86,8000.86,5872061000
"2008-12-01",8826.89,9151.61,8072.47,8776.39,5320791300
"2008-11-03",9326.04,9711.46,7392.27,8829.04,6231635200
"2008-10-01",10847.4,11022.06,7773.71,9325.01,7290610800
"2008-09-02",11545.63,11831.29,10266.76,10850.66,7009506600
"2008-08-01",11379.89,11933.55,11144.59,11543.55,4264482300
"2008-07-01",11344.64,11820.21,10731.96,11378.02,5923937200
"2008-06-02",12637.67,12652.81,11226.34,11350.01,4840303300
"2008-05-01",12818.34,13191.49,12397.56,12638.32,4039814700
"2008-04-01",12266.64,13052.91,12208.42,12820.13,4113069000
"2008-03-03",12264.36,12687.61,11650.44,12262.89,4868908000
"2008-02-01",12638.17,12841.88,12006.79,12266.39,4148143000
"2008-01-02",13261.82,13338.23,11508.74,12650.36,4925982300
"2007-12-03",13368.22,13850.92,13059.32,13264.82,3299866500
"2007-11-01",13924.16,13924.16,12707.26,13371.72,4317578500
"2007-10-01",13895.71,14279.96,13337.9,13930.01,3477202100
"2007-09-04",13358.39,13994.64,12992.02,13895.63,3196581500
"2007-08-01",13211.09,13769.63,12455.92,13357.74,4091885600
"2007-07-02",13409.6,14121.04,13143.87,13211.99,3564854700
"2007-06-01",13628.69,13756.69,13205.08,13408.62,3261343300
"2007-05-01",13062.75,13718.82,12993.02,13627.64,3104253600
"2007-04-02",12354.52,13226.99,12284.54,13062.91,3006294500
"2007-03-01",12265.59,12550.07,11926.79,12354.35,3205736800
"2007-02-01",12617.2,12845.76,12078.85,12268.63,2935275700
"2007-01-03",12459.54,12685.54,12313.01,12621.69,2983144500
"2006-12-01",12220.97,12566.17,12070.52,12463.15,2462849000
"2006-11-01",12080.25,12409.31,11928.97,12221.93,2826198000
"2006-10-02",11678.99,12236.1,11608.23,12080.73,2708938600
"2006-09-01",11427.41,11782.49,11273.89,11679.07,2563743500
"2006-08-01",11184.8,11452.95,10998.06,11381.15,2280876500
"2006-07-03",11149.34,11301.58,10658.35,11185.68,2440476000
"2006-06-01",11169.03,11329.28,10653.23,11150.22,2632855400
"2006-05-01",11367.78,11709.09,10980.29,11168.31,2591135900
"2006-04-03",11113,11468.16,11017.43,11367.14,2406755200
"2006-03-01",10993.25,11364.34,10885.35,11109.32,2310510800
"2006-02-01",10862.14,11182.68,10691.97,10993.41,2380568400
"2006-01-03",10718.3,11099.15,10607.36,10864.86,2595998000
"2005-12-01",10806.03,10985.01,10675.64,10717.5,2057125200
"2005-11-01",10437.51,10997.5,10347.7,10805.87,2260836100
"2005-10-03",10569.5,10637,10098.18,10440.07,2493393300
"2005-09-01",10481.44,10743.77,10303.51,10568.7,2232144200
"2005-08-01",10641.78,10746.87,10321.42,10481.6,1930243400
"2005-07-01",10273.59,10754.6,10142.24,10640.91,1962713500
"2005-06-01",10462.86,10710.38,10229.4,10274.97,1929251300
"2005-05-02",10192,10589.92,10062.76,10467.48,1960127100
"2005-04-01",10504.57,10600.56,9961.52,10192.51,2180315700
"2005-03-01",10794.98,11027.15,10351.76,10503.76,1874017200
"2005-02-01",10489.72,10889.78,10464.38,10766.23,1636467800
"2005-01-03",10783.75,10892.67,10317.1,10489.94,1658645000
"2004-12-01",10425.8,10895.1,10389.81,10783.01,1449527200
"2004-11-01",10028.73,10655.09,9953.29,10428.02,1524465700
"2004-10-01",10082.04,10313.81,9660.18,10027.47,1571990400
"2004-09-01",10170.12,10390.64,9950.71,10080.27,1360850900
"2004-08-02",10138.45,10235.49,9746.6,10173.92,1260227200
"2004-07-01",10434,10473.23,9874.38,10139.71,1456371400
"2004-06-01",10187.18,10530.01,10104.07,10435.48,1381109500
"2004-05-03",10227.27,10403.14,9822.1,10188.45,1524950000
"2004-04-01",10357.52,10596.37,10198.39,10225.57,1583171400
"2004-03-01",10582.25,10720.14,9975.86,10357.7,1528634700
"2004-02-02",10487.78,10794.95,10394.81,10583.92,1554000000
"2004-01-02",10452.74,10748.81,10341.19,10488.07,1722750000
"2003-12-01",9785.35,10494.44,9777.64,10453.92,1312119500
"2003-11-03",9802.46,9945.71,9556.68,9782.46,1313181000
"2003-10-01",9275.06,9901.64,9275.06,9801.12,1469452100
"2003-09-02",9416.67,9719.49,9199.43,9275.06,1501457600
"2003-08-01",9232.68,9535.97,8964.13,9415.82,1229836600
"2003-07-01",8983.66,9398.02,8843.61,9233.8,1507327200
"2003-06-02",8851.45,9406.5,8823.51,8985.44,1562219000
"2003-05-01",8478.48,8897.04,8328.55,8850.26,1554328500
"2003-04-01",7992.83,8587.72,7947.38,8480.09,1498577100
"2003-03-03",7890.24,8552.08,7397.31,7992.13,1503596600
"2003-02-03",8053.74,8189.35,7602.81,7891.08,1400452600
"2003-01-02",8342.38,8896.09,7884.66,8053.81,1539433800
"2002-12-02",8902.95,9076.35,8214.93,8341.63,1289625700
"2002-11-01",8395.64,8995.78,8237.65,8896.09,1488161000
"2002-10-01",7593.04,8607.04,7181.47,8397.03,1717287300
"2002-09-03",8659.27,8767.82,7422.28,7591.93,1473959000
"2002-08-01",8732.58,9129.1,7991.43,8663.5,1374013600
"2002-07-01",9239.25,9433.08,7489.53,8736.59,2012640000
"2002-06-03",9923.94,10016.04,8831.92,9243.26,1521039500
"2002-05-01",9944.9,10400.62,9749.73,9925.25,1279613600
"2002-04-01",10402.07,10437.43,9767.15,9946.22,1372613600
"2002-03-01",10111.04,10728.87,10086.51,10403.94,1385540000
"2002-02-01",9923.04,10315.72,9503.52,10106.13,1444200000
"2002-01-02",10021.71,10345.4,9443.32,9920,1490628500
"2001-12-03",9848.93,10220.78,9651.87,10021.57,1303608500
"2001-11-01",9087.45,10054.58,8987.61,9851.56,1317790400
"2001-10-01",8845.97,9626.54,8659.9,9075.14,1361033900
"2001-09-04",9946.98,10238.5,7926.93,8847.56,1789906000
"2001-08-01",10527.38,10663.07,9829.35,9949.75,1055621700
"2001-07-02",10504.95,10758.14,10049.38,10522.81,1186805200
"2001-06-01",10913.57,11236.68,10313.4,10502.4,1265732800
"2001-05-01",10734.05,11436.42,10638.48,10911.94,1170568100
"2001-04-02",9877.16,10973.15,9303.48,10734.97,1327224500
"2001-03-01",10493.25,10940.45,9047.56,9878.78,1322155000
"2001-02-01",10884.82,11140.09,10225.14,10495.28,1203668400
"2001-01-02",10790.92,11224.41,10325.71,10887.36,1215162300
"2000-12-01",10416.76,11044.7,10158.16,10787.99,1162065500
"2000-11-01",10966.21,11152.02,10204.8,10414.49,1034230000
"2000-10-02",10659.06,11108.79,9571.4,10971.14,1241718100
"2000-09-01",11219.54,11518.83,10439.31,10650.92,1101770000
"2000-08-01",10523.81,11415.99,10428.58,11215.1,930960800
"2000-07-03",10450.36,10980.34,10303.28,10521.98,1002085000
"2000-06-01",10532.27,11013.05,10161.51,10447.89,1054454500
"2000-05-01",10749.42,11086.72,10163.2,10522.33,948127200
"2000-04-03",10863.28,11600.43,10128.62,10733.91,1110055700
"2000-03-01",10128.11,11311.28,9611.75,10921.92,1190591300
"2000-02-01",10937.74,11228.44,9760.36,10128.31,1105815000
"2000-01-03",11501.85,11908.5,10610.43,10940.53,1124410000
"1999-12-01",10876.47,11658.68,10798.07,11497.12,909760900
"1999-11-01",10730.78,11195.34,10449.42,10877.81,920777100
"1999-10-01",10335.69,10883.1,9884.2,10729.86,950119000
"1999-09-01",10828.44,11218.39,10055.17,10336.95,831252300
"1999-08-02",10654.83,11428.94,10487.34,10829.28,758193100
"1999-07-01",10972.39,11321.61,10594.99,10655.15,765225200
"1999-06-01",10549.08,11120.24,10334.42,10970.8,781644000
"1999-05-03",10788.75,11244.36,10372.96,10559.74,826511000
"1999-04-01",9825.29,11072.25,9707.91,10789.04,926652300
"1999-03-01",9315.27,10158.57,9163.41,9786.16,822904300
"1999-02-01",9405.43,9662.77,9025.41,9306.58,807392600
"1999-01-04",9212.84,9759.44,8994.26,9358.83,901605200
"1998-12-01",9039.57,9390.75,8610.63,9181.43,722756800
"1998-11-02",8645.65,9457.95,8573.56,9116.55,706959000
"1998-10-01",7749.42,8718.25,7399.78,8592.1,853938600
"1998-09-01",7583.09,8253.79,7379.7,7842.62,834008500
"1998-08-03",8868.1,8948.17,7517.7,7539.07,761383300
"1998-07-01",9011.56,9412.64,8786.48,8883.29,674577700
"1998-06-01",8907.93,9155.04,8524.55,8952.02,650416800
"1998-05-01",9106.47,9311.98,8760.95,8899.95,601696000
"1998-04-01",8818.5,9287.32,8715.61,9063.37,683412300
"1998-03-02",8528.78,8997.11,8377.32,8799.81,654296300
"1998-02-02",7987.46,8616.72,7987.46,8545.72,643738400
"1998-01-02",7908.25,8072.91,7391.59,7906.5,667360500
"1997-12-01",7823.62,8209.56,7563.23,7908.25,564825400
"1997-11-03",7443.07,7934.53,7334.77,7823.13,545404700
"1997-10-01",7945.26,8218.34,6936.45,7442.08,637188200
"1997-09-02",7650.99,8078.36,7556.23,7945.26,570023800
"1997-08-01",8222.61,8340.14,7580.85,7622.42,524762300
"1997-07-01",7672.79,8328.99,7613.53,8222.61,568452200
"1997-06-02",7331.04,7868.44,7214.29,7672.79,543785200
"1997-05-01",7008.99,7430.2,6891.39,7331.04,506850400
"1997-04-01",6583.48,7081.23,6315.84,7008.99,501112200
"1997-03-03",6877.74,7158.28,6532.49,6583.48,529324500
"1997-02-03",6813.09,7112.87,6683.4,6877.74,538249400
"1997-01-02",6448.27,6953.55,6318.96,6813.09,555111800
"1996-12-02",6521.7,6623.96,6206.83,6448.27,451853800
"1996-11-01",6029.38,6606.3,5975.34,6521.7,452968000
"1996-10-01",5882.17,6162.8,5833.72,6029.38,443384300
"1996-09-03",5616.21,5952.08,5550.37,5882.17,423201000
"1996-08-01",5528.91,5761.95,5507.83,5616.21,347214000
"1996-07-01",5654.63,5769.88,5170.11,5528.91,391764000
"1996-06-03",5643.18,5770.61,5559.69,5654.63,419958000
"1996-05-01",5569.08,5833.04,5327.74,5643.18,421495000
"1996-04-01",5587.14,5737.07,5382.66,5569.08,441431400
"1996-03-01",5485.62,5755.86,5395.3,5587.14,447510000
"1996-02-01",5395.3,5693.36,5319.43,5485.62,460809500
"1996-01-02",5117.12,5433.24,5000.07,5395.3,439102700
"1995-12-01",5074.49,5266.69,5016.68,5117.12,377297500
"1995-11-01",4755.48,5143.13,4719.72,5074.49,381427100
"1995-10-02",4789.08,4845.08,4638.43,4755.48,382475000
"1995-09-01",4610.56,4839.48,4594.71,4789.08,369478000
"1995-08-01",4708.47,4772.56,4552.8,4610.56,323356000
"1995-07-03",4556.1,4767.99,4530.26,4708.47,379761000
"1995-06-01",4465.14,4614.2,4394.59,4556.1,357505400
"1995-05-01",4321.27,4480.7,4278.73,4465.14,359606800
"1995-04-03",4157.69,4348.94,4129.68,4321.27,348205200
"1995-03-01",4011.05,4213.71,3935.31,4157.69,353969500
"1995-02-01",3843.86,4034.62,3809.21,4011.05,350035700
"1995-01-03",3834.44,3955.56,3794.4,3843.86,345693300
"1994-12-01",3739.23,3882.21,3638.97,3834.44,314557100
"1994-11-01",3908.12,3919.9,3612.05,3739.23,312217600
"1994-10-03",3843.19,3958.25,3736.2,3908.12,316010400
"1994-09-01",3913.42,3972.72,3804.5,3843.19,307093300
"1994-08-01",3764.5,3954.54,3722.41,3913.42,293590400
"1994-07-01",3624.96,3782.63,3611.04,3764.5,262081000
"1994-06-01",3758.37,3839.88,3603.92,3624.96,279192700
"1994-05-02",3681.69,3788.76,3609.71,3758.37,280677100
"1994-04-04",3633.08,3733.15,3520.8,3681.69,317263100
"1994-03-01",3832.02,3911.78,3544.12,3635.96,332746000
"1994-02-01",3978.36,3998.06,3811.76,3832.02,322085700
"1994-01-03",3754.09,4002.84,3715.24,3978.36,331091900
"1993-12-01",3683.95,3818.92,3673.33,3754.09,270919000
"1993-11-01",3680.59,3749.9,3585.86,3683.95,294165700
"1993-10-01",3555.12,3713.57,3541.71,3680.59,295792300
"1993-09-01",3651.25,3665.5,3501.47,3555.12,276908000
"1993-08-02",3539.47,3681.71,3523.54,3651.25,260793600
"1993-07-01",3516.08,3604.86,3443.28,3539.47,264088500
"1993-06-01",3527.43,3577.25,3445.77,3516.08,264065000
"1993-05-03",3427.55,3582.23,3402.42,3527.43,265250500
"1993-04-01",3435.11,3499.41,3338.39,3427.55,287085200
"1993-03-01",3370.81,3497.25,3334.07,3435.11,258309500
"1993-02-01",3310.03,3472.94,3262.48,3370.81,294275700
"1993-01-04",3301.11,3338.12,3219.25,3310.03,274988000
"1992-12-01",3305.16,3364.87,3229.79,3301.11,227053600
"1992-11-02",3226.28,3326.51,3176.84,3305.16,218204500
"1992-10-01",3271.66,3291.39,3087.41,3226.28,212150000
"1992-09-01",3257.35,3391.35,3226.55,3271.66,199083300
"1992-08-03",3393.78,3413.23,3200.86,3257.35,181093300
"1992-07-01",3318.52,3414.85,3255.43,3393.78,201045400
"1992-06-01",3396.88,3435.27,3242.32,3318.52,200209500
"1992-05-01",3359.12,3433.98,3316.64,3396.88,191438000
"1992-04-01",3235.47,3387.97,3141.77,3359.12,215502300
"1992-03-02",3267.67,3318.42,3176.21,3235.47,192259500
"1992-02-03",3223.39,3307.47,3193.42,3267.67,234001000
"1992-01-02",3168.83,3313.51,3119.86,3223.39,247368600
"1991-12-02",2894.68,3204.61,2832.29,3168.83,209394700
"1991-11-01",3069.1,3091.91,2861.14,2894.68,189830500
"1991-10-01",3016.77,3091.01,2925.54,3069.1,184610400
"1991-09-03",3043.6,3066.64,2963.1,3016.77,169418500
"1991-08-01",3024.82,3068.65,2836.31,3043.6,176133600
"1991-07-01",2911.67,3039.58,2897.36,3024.82,165125000
"1991-06-03",3027.5,3057.47,2879.25,2906.75,170287500
"1991-05-01",2887.87,3044.5,2834.53,3027.5,180868100
"1991-04-01",2913.86,3030.45,2848.51,2887.87,191855400
"1991-03-01",2882.18,3017.82,2829.21,2913.86,203880500
"1991-02-01",2736.39,2955.2,2694.31,2882.18,237928900
"1991-01-02",2633.66,2747.28,2447.03,2736.39,175606300
"1990-12-03",2559.65,2662.62,2534.65,2633.66,161542000
"1990-11-01",2442.33,2581.19,2415.59,2559.65,159075700
"1990-10-01",2452.48,2565.35,2344.31,2442.33,166376500
"1990-09-04",2614.36,2665.35,2367.82,2452.48,151916300
"1990-08-01",2905.2,2931.19,2459.41,2614.36,178727800
"1990-07-02",2880.69,3024.26,2833.17,2905.2,168768000
"1990-06-01",2876.66,2956.93,2821.53,2880.69,160561400
"1990-05-01",2656.76,2908.21,2651.35,2876.66,171016800
"1990-04-02",2707.21,2793.47,2627.7,2656.76,146199000
"1990-03-01",2627.25,2775,2607.88,2707.21,155573600
"1990-02-01",2590.54,2674.32,2540.99,2627.25,165600500
"1990-01-02",2753.2,2834.04,2513.06,2590.54,181041300
"1989-12-01",2706.27,2784.77,2658.7,2753.2,167968000
"1989-11-01",2645.08,2718.22,2563.11,2706.27,151683800
"1989-10-02",2692.82,2809.08,2496.93,2645.08,190398600
"1989-09-01",2737.27,2768.24,2636.78,2692.82,159516500
"1989-08-01",2660.66,2758.73,2619.71,2737.27,177996500
"1989-07-03",2440.06,2668.25,2431.53,2660.66,170784000
"1989-06-01",2480.15,2544.95,2412.94,2440.06,188049000
"1989-05-01",2418.8,2521.63,2356.3,2480.15,177720400
"1989-04-03",2293.62,2433.1,2282.07,2418.8,169782000
"1989-03-01",2258.39,2351.07,2234.46,2293.62,167067700
"1989-02-01",2342.32,2369.29,2232.14,2258.39,177037300
"1989-01-03",2168.39,2350.18,2127.14,2342.32,177441400
"1988-12-01",2114.51,2193.75,2075.39,2168.57,141529000
"1988-11-01",2148.65,2185.99,2026.67,2114.51,141934700
"1988-10-03",2112.91,2195.06,2082.33,2148.65,169458000
"1988-09-01",2027.56,2140.29,1988.44,2112.91,154057100
"1988-08-01",2128.73,2151.85,1978.66,2031.65,150345600
"1988-07-01",2141.71,2169.45,2047.3,2128.73,176540500
"1988-06-01",2031.12,2169.1,2021.34,2141.71,206096300
"1988-05-02",2032.33,2071.95,1921.58,2031.12,165665700
"1988-04-04",1988.06,2121.35,1968,2032.33,169819000
"1988-03-01",2071.62,2110.91,1951.26,1988.06,182296900
"1988-02-01",1958.22,2078.08,1878.15,2071.62,196464500
"1988-01-04",1950.76,2075.27,1845.99,1958.22,185329000
"1987-12-01",1833.55,2019.56,1733.92,1938.83,186222200
"1987-11-02",1993.53,2027.52,1795.26,1833.55,192921500
"1987-10-01",2596.28,2662.37,1616.21,1993.53,290813600
"1987-09-01",2662.95,2695.47,2468.99,2596.28,186014200
"1987-08-03",2572.07,2746.65,2525.99,2662.95,201342800
"1987-07-01",2418.53,2588.33,2391.26,2572.07,188559000
"1987-06-01",2291.57,2466.04,2260.62,2418.53,170931800
"1987-05-01",2286.36,2380.77,2188.53,2291.57,178560000
"1987-04-01",2304.69,2428.41,2180.54,2286.36,195942800
"1987-03-02",2223.99,2399.57,2209.08,2304.69,188040900
"1987-02-02",2158.04,2266.45,2134.42,2223.99,190952600
"1987-01-02",1897.36,2214.57,1897.36,2158.04,200203800
"1986-12-01",1914.23,1971.74,1880.48,1895.95,154548600
"1986-11-03",1877.71,1926.46,1797.1,1914.23,159703100
"1986-10-01",1767.58,1894.69,1761.25,1877.71,137562600
"1986-09-02",1898.34,1933.35,1732.99,1767.58,156723800
"1986-08-01",1775.31,1918.59,1730.6,1898.34,134628500
"1986-07-01",1892.72,1922.67,1741.56,1775.31,142845400
"1986-06-02",1876.71,1908.62,1816.07,1892.72,132604700
"1986-05-01",1783.98,1898.22,1746.53,1876.71,134830400
"1986-04-01",1818.61,1870.16,1712.52,1783.98,153995400
"1986-03-03",1709.06,1849.74,1663.07,1818.61,167450000
"1986-02-03",1570.99,1732.57,1564.33,1709.06,162673600
"1986-01-02",1546.67,1582.91,1491.74,1570.99,137386800
